dataset,method,insample_bacc,cv_bacc,insample_mcc,cv_mcc,cv_threshold_mean,cv_threshold_sd
CAID3 Disorder-NOX,AlphaFold-pLDDT,0.7885482380229971,0.7859064583540629,0.5360026335807226,0.5311244285478517,0.2739000000000001,0.030200827803224205
CAID3 Disorder-NOX,AlphaFold-rsa,0.8031873716201341,0.8007205574649536,0.5641271766951286,0.5576374841003542,0.5738000000000001,0.016029971927611075
CAID3 Disorder-NOX,AlphaFold3-pLDDT,0.7870426896526,0.7850649936445346,0.5306761841168223,0.526004924698079,0.18886319999999998,0.020193078719204755
CAID3 Disorder-NOX,AlphaFold3-rsa,0.7985357335406542,0.7920220725149018,0.5492178715715053,0.5373658231242998,0.5115985000000001,0.036717159751947046
CAID3 Disorder-NOX,AIUPred,0.756339295808703,0.7517984215582827,0.4911368947904295,0.4812548605673935,0.6863383,0.04264689463501417
CAID3 Disorder-NOX,AIUPred-2-disorder,0.7815357134915915,0.7795441460246042,0.5266324581171602,0.5234373277281325,0.5718,0.005775811631277466
CAID3 Disorder-NOX,IUPred3,0.7376428902929938,0.7329447112496603,0.451948026698178,0.4458700110746005,0.48710000000000003,0.024508977946866742
CAID3 Disorder-NOX,ESpritz-D,0.7287362615820232,0.7162463011447053,0.43772239660766493,0.41016281416760747,0.33080000000000004,0.056305949952025494
CAID3 Disorder-NOX,ESpritz-N,0.7160851643189039,0.7180028676882768,0.42597485982937155,0.4209755264086001,0.3934,0.0446389964044892
CAID3 Disorder-NOX,ESpritz-X,0.7250013481737501,0.7256379202626257,0.4366454519114159,0.4347594929287344,0.0978,0.007372923436466704
CAID3 Disorder-NOX,MobiDB-lite,0.7377246921632586,0.7298849656058002,0.45523821662186414,0.4479541595853066,0.3432,0.07005540664359891
CAID3 Disorder-NOX,flDPnn,0.7656139174679131,0.7591042739070151,0.5027259040386234,0.4941030702162777,0.22249999999999998,0.025212100269513447
CAID3 Disorder-NOX,flDPnn2,0.7677083776757601,0.760366831244984,0.5130573340135508,0.4981375145862995,0.2689,0.04380741946291746
CAID3 Disorder-NOX,flDPnn3a,0.8086282700496803,0.8073257075072633,0.5719409685556736,0.5686502287595088,0.458,0.009969954864491608
CAID3 Disorder-NOX,flDPnn3b,0.7737903630594467,0.7583030061197304,0.5151619889206887,0.4908091613105727,0.26230000000000003,0.04612819094653507
CAID3 Disorder-NOX,DISOPRED3-diso,0.7514336582965,0.7502968335336818,0.4719321189319954,0.4691856105269168,0.364,0.03555277766926236
CAID3 Disorder-NOX,SETH-0,0.8043778298120554,0.8038900411178509,0.5650550996583137,0.5639623185080976,0.38180000000000003,0.009442457307290309
CAID3 Disorder-NOX,SETH-1,0.7910023262433332,0.7876272362548534,0.5413791021865131,0.5363716913106171,0.4090421,0.026930806740422763
CAID3 Disorder-NOX,VSL2,0.7345657185537064,0.730774569519622,0.43487191204903186,0.42896730870119376,0.6255,0.04288647805544311
