dataset,method,kind,operating_point,threshold,stratum,local_recall,local_specificity,local_bacc,local_bacc_lo,local_bacc_hi,local_mcc,n_pos,n_neg
CAID3 Disorder-PDB,PredIDR-long,DED,literal,0.5,long_gt30,0.8417748232563047,0.7914391403910516,0.8166069818236781,0.7831158678768225,0.8525039348182882,0.57965387687234,18954,5677
CAID3 Disorder-PDB,PredIDR-long,DED,calibrated,0.524,short_lt20,0.5901548672566371,0.785983421250942,0.6880691442537896,0.6558230754648479,0.7219459488012946,0.37528146825889874,1808,1327
CAID3 Disorder-PDB,PredIDR-long,DED,calibrated,0.524,mid_20_30,0.7538961038961038,0.772192513368984,0.7630443086325439,0.7109035935939695,0.8096672551396484,0.5132607394232225,1540,935
CAID3 Disorder-PDB,PredIDR-long,DED,calibrated,0.524,long_gt30,0.824153213042102,0.8203276378368857,0.8222404254394938,0.7886952395455384,0.857607791711138,0.5797714204588766,18954,5677
CAID3 Disorder-PDB,PredIDR-short,DED,literal,0.5,short_lt20,0.7206858407079646,0.7445365486058779,0.7326111946569213,0.7017163346003389,0.7618998994256453,0.4602341085788198,1808,1327
CAID3 Disorder-PDB,PredIDR-short,DED,literal,0.5,mid_20_30,0.7928571428571428,0.760427807486631,0.7766424751718869,0.7373391907610188,0.8159571009053305,0.5442049494320542,1540,935
CAID3 Disorder-PDB,PredIDR-short,DED,literal,0.5,long_gt30,0.8391896169673947,0.7889730491456756,0.8140813330565351,0.7831510258495212,0.8481358509638994,0.5742780334343249,18954,5677
CAID3 Disorder-PDB,PredIDR-short,DED,calibrated,0.532895,short_lt20,0.6924778761061947,0.773172569706104,0.7328252229061494,0.7017142731474092,0.7628934494959722,0.4601566791184496,1808,1327
CAID3 Disorder-PDB,PredIDR-short,DED,calibrated,0.532895,mid_20_30,0.7714285714285715,0.7925133689839572,0.7819709702062643,0.7404756647910093,0.8208707377246136,0.5506003177269779,1540,935
CAID3 Disorder-PDB,PredIDR-short,DED,calibrated,0.532895,long_gt30,0.8186662445921705,0.8146908578474547,0.8166785512198126,0.7860828896005475,0.8506543124218249,0.5684456984710661,18954,5677
CAID3 Disorder-PDB,PredIDR2-Prof-Art,DED,literal,0.5,short_lt20,0.6244469026548672,0.7927656367746797,0.7086062697147735,0.6741507535485219,0.7411577534471282,0.4145337922545954,1808,1327
CAID3 Disorder-PDB,PredIDR2-Prof-Art,DED,literal,0.5,mid_20_30,0.8077922077922078,0.7572192513368984,0.7825057295645531,0.7416726363021142,0.8215825467401452,0.5578921223153372,1540,935
CAID3 Disorder-PDB,PredIDR2-Prof-Art,DED,literal,0.5,long_gt30,0.8799198058457318,0.755328518583759,0.8176241622147454,0.7861727719125282,0.8521812569600324,0.6050985399086102,18954,5677
CAID3 Disorder-PDB,PredIDR2-Prof-Art,DED,calibrated,0.556,short_lt20,0.5586283185840708,0.8372268274302939,0.6979275730071823,0.6636058200406131,0.7329535533653663,0.400795438602711,1808,1327
CAID3 Disorder-PDB,PredIDR2-Prof-Art,DED,calibrated,0.556,mid_20_30,0.7467532467532467,0.8074866310160428,0.7771199388846448,0.7336183766367966,0.8205989690515961,0.5389337384611458,1540,935
CAID3 Disorder-PDB,PredIDR2-Prof-Art,DED,calibrated,0.556,long_gt30,0.8636699377440118,0.7946098291351066,0.8291398834395591,0.7969727864313205,0.8638020848916766,0.6121796991778726,18954,5677
CAID3 Disorder-PDB,PredIDR2-Seq-Art,DED,literal,0.5,short_lt20,0.6023230088495575,0.7897513187641296,0.6960371638068436,0.6635816472204866,0.7292874559812803,0.390608560883551,1808,1327
CAID3 Disorder-PDB,PredIDR2-Seq-Art,DED,literal,0.5,mid_20_30,0.7525974025974026,0.7764705882352941,0.7645339954163484,0.7138793622376646,0.8127531022275123,0.5158943763829192,1540,935
CAID3 Disorder-PDB,PredIDR2-Seq-Art,DED,literal,0.5,long_gt30,0.8928985966023003,0.7662497798132817,0.8295741882077909,0.8009692904485671,0.8591987110108789,0.633635352678034,18954,5677
CAID3 Disorder-PDB,PredIDR2-Seq-Art,DED,calibrated,0.591,short_lt20,0.5105088495575221,0.8688771665410701,0.689693008049296,0.657710984904836,0.7234617160953218,0.3930163246269653,1808,1327
CAID3 Disorder-PDB,PredIDR2-Seq-Art,DED,calibrated,0.591,mid_20_30,0.687012987012987,0.8438502673796792,0.7654316271963331,0.713377158797169,0.818460629934064,0.5149473318654664,1540,935
CAID3 Disorder-PDB,PredIDR2-Seq-Art,DED,calibrated,0.591,long_gt30,0.8621926770074918,0.8323057953144266,0.8472492361609592,0.8205836922482528,0.8759379432793125,0.6395495433290777,18954,5677
CAID3 Disorder-PDB,AUCpred-profile,DED,literal,0.5,short_lt20,0.5381637168141593,0.8251695553880934,0.6816666361011263,0.6539280477725316,0.7115981584995642,0.3690350928284544,1808,1327
CAID3 Disorder-PDB,AUCpred-profile,DED,literal,0.5,mid_20_30,0.6474025974025974,0.8866310160427807,0.767016806722689,0.7207634214780386,0.8156011410153704,0.5209186992566133,1540,935
CAID3 Disorder-PDB,AUCpred-profile,DED,literal,0.5,long_gt30,0.6856072596813337,0.8953672714461863,0.79048726556376,0.7586220116727826,0.8225943113168644,0.4919821642643262,18954,5677
CAID3 Disorder-PDB,AUCpred-profile,DED,calibrated,0.305,short_lt20,0.5779867256637168,0.7972871137905049,0.6876369197271108,0.6600561834511175,0.71680255174263,0.37577709918172175,1808,1327
CAID3 Disorder-PDB,AUCpred-profile,DED,calibrated,0.305,mid_20_30,0.6746753246753247,0.8631016042780749,0.7688884644766998,0.7208277367202428,0.818450334410211,0.522310831953533,1540,935
CAID3 Disorder-PDB,AUCpred-profile,DED,calibrated,0.305,long_gt30,0.7124617494987865,0.8837414127179849,0.7981015811083857,0.7659487368924167,0.8302204647948075,0.5079255848029919,18954,5677
CAID3 Disorder-PDB,AUCpred-no-profile,DED,literal,0.5,short_lt20,0.4280973451327434,0.8847023360964582,0.6563998406146008,0.6269595070631107,0.6876108804072004,0.33865818360397815,1808,1327
CAID3 Disorder-PDB,AUCpred-no-profile,DED,literal,0.5,mid_20_30,0.5272727272727272,0.9390374331550803,0.7331550802139037,0.6894260685923286,0.779662420005525,0.4736509203895565,1540,935
CAID3 Disorder-PDB,AUCpred-no-profile,DED,literal,0.5,long_gt30,0.5789279307797827,0.9309494451294698,0.7549386879546263,0.7238575486484461,0.7843154256538768,0.4307456603969062,18954,5677
CAID3 Disorder-PDB,AUCpred-no-profile,DED,calibrated,0.092,short_lt20,0.5597345132743363,0.7422758100979653,0.6510051616861507,0.6218811078424568,0.6796804900092766,0.30124175628574046,1808,1327
CAID3 Disorder-PDB,AUCpred-no-profile,DED,calibrated,0.092,mid_20_30,0.6564935064935065,0.7668449197860963,0.7116692131398014,0.6686273043872187,0.7550769762992564,0.410505418755992,1540,935
CAID3 Disorder-PDB,AUCpred-no-profile,DED,calibrated,0.092,long_gt30,0.6966867152052337,0.8310727496917386,0.7638797324484862,0.7181850926407637,0.8030028584655748,0.4496160903380865,18954,5677
CAID3 Disorder-PDB,DisoPred,DED,literal,0.5,short_lt20,0.314712389380531,0.8605877920120573,0.5876500906962941,0.5627164830067983,0.613556154538884,0.20265236169732784,1808,1327
CAID3 Disorder-PDB,DisoPred,DED,literal,0.5,mid_20_30,0.5512987012987013,0.8352941176470589,0.6932964094728801,0.6506912586603566,0.7363331768383747,0.38178211276002344,1540,935
CAID3 Disorder-PDB,DisoPred,DED,literal,0.5,long_gt30,0.7271815975519679,0.9024132464329752,0.8147974219924715,0.7858834419607248,0.8432248396646566,0.5375883188214408,18954,5677
CAID3 Disorder-PDB,DisoPred,DED,calibrated,0.441,short_lt20,0.4103982300884956,0.7965335342878673,0.6034658821881814,0.5786825938726537,0.6307806181909795,0.21867371436730212,1808,1327
CAID3 Disorder-PDB,DisoPred,DED,calibrated,0.441,mid_20_30,0.6402597402597403,0.7989304812834225,0.7195951107715814,0.6740985657832631,0.766466367599729,0.42642841016525646,1540,935
