dataset,round,reference,method,kind,operating_point,threshold,stratum,recall,recall_lo,recall_hi,specificity,balanced_accuracy,bacc_lo,bacc_hi,mcc,n_pos_residues,n_targets
CAID3 Disorder-NOX,caid3,disorder_nox,IsUnstruct,DED,literal,0.5,mid_20_30,0.758800521512386,0.6206762897620958,0.8750328947368421,0.6885486116198989,0.7236745665661424,0.6515192391902694,0.7877577415419346,0.12887250558439892,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,IsUnstruct,DED,literal,0.5,long_gt30,0.7878438977093686,0.7427935838456076,0.8292678970608327,0.6885486116198989,0.7381962546646337,0.7069160086214135,0.7673317228066164,0.433437553172588,16502,161
CAID3 Disorder-NOX,caid3,disorder_nox,IsUnstruct,DED,calibrated,0.691,short_lt20,0.4792703150912106,0.35420328997934636,0.6104458744067178,0.7881896109605099,0.6337299630258603,0.5630870421647178,0.700504265534371,0.07776731359775756,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,IsUnstruct,DED,calibrated,0.691,mid_20_30,0.6088657105606258,0.47097022443611125,0.7351860974274768,0.7881896109605099,0.6985276607605678,0.6294422969833807,0.7691709612074079,0.12895883566350852,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,IsUnstruct,DED,calibrated,0.691,long_gt30,0.6780996242879651,0.620071500031931,0.7290321932885809,0.7881896109605099,0.7331446176242375,0.6965080653833614,0.762416443817546,0.44360787689674436,16502,161
CAID3 Disorder-NOX,caid3,disorder_nox,RONN,DED,literal,0.5,short_lt20,0.5422885572139303,0.4283184891967673,0.6524760423893508,0.675409675922534,0.6088491165682322,0.5487938490355199,0.6621857019317317,0.05546473252571829,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,RONN,DED,literal,0.5,mid_20_30,0.6923076923076923,0.5493067561322128,0.8219055472111716,0.675409675922534,0.6838586841151131,0.6096194584285003,0.7507039839841658,0.10495366210094081,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,RONN,DED,literal,0.5,long_gt30,0.7693006908253545,0.7252650424431926,0.8088046635850974,0.675409675922534,0.7223551833739442,0.6923178192727818,0.7513544422159121,0.4042842354874146,16502,161
CAID3 Disorder-NOX,caid3,disorder_nox,RONN,DED,calibrated,0.52,short_lt20,0.49087893864013266,0.3730762411347518,0.6051661255411255,0.7159987300656947,0.6034388343529137,0.5427368548533941,0.6607484898963496,0.05469214297703254,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,RONN,DED,calibrated,0.52,mid_20_30,0.6401564537157758,0.4940791587996626,0.7805251593056471,0.7159987300656947,0.6780775918907352,0.6005511454950055,0.7487353840626279,0.1053888950998396,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,RONN,DED,calibrated,0.52,long_gt30,0.737243970427827,0.6911654972428857,0.7781821157968629,0.7159987300656947,0.7266213502467609,0.6963113203991076,0.7545716686521161,0.41634078272047287,16502,161
CAID3 Disorder-NOX,caid3,disorder_nox,PreDisorder,DED,literal,0.5,short_lt20,0.6965174129353234,0.5715795559666975,0.8164387896653372,0.6478374484089189,0.6721774306721211,0.6074050867058717,0.7334122205773479,0.08594527870074625,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,PreDisorder,DED,literal,0.5,mid_20_30,0.78748370273794,0.6706756328373877,0.8968874139372162,0.6478374484089189,0.7176605755734294,0.6556363698261383,0.7761979705864458,0.12182920796745265,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,PreDisorder,DED,literal,0.5,long_gt30,0.8160828990425403,0.756512465457639,0.8642931373240551,0.6478374484089189,0.7319601737257295,0.6969654374193709,0.7629640263699997,0.4200054752588185,16502,161
CAID3 Disorder-NOX,caid3,disorder_nox,PreDisorder,DED,calibrated,0.537,short_lt20,0.572139303482587,0.4357923203303334,0.7062870407822309,0.7615942559894497,0.6668667797360184,0.5969921309401177,0.7348583765004424,0.09302431058766102,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,PreDisorder,DED,calibrated,0.537,mid_20_30,0.6766623207301173,0.5388527951108604,0.8109695117381949,0.7615942559894497,0.7191282883597836,0.647529813518346,0.7864083094731845,0.136623866689499,767,161
CAID3 Disorder-NOX,caid3,disorder_nox,PreDisorder,DED,calibrated,0.537,long_gt30,0.7110653254151011,0.6503106941005331,0.765037821071886,0.7615942559894497,0.7363297907022754,0.7018259995611286,0.7677588952551726,0.44195841517217077,16502,161
CAID3 Disorder-NOX,caid3,disorder_nox,OPAL,DED,literal,0.5,short_lt20,0.7744610281923715,0.6471336645282428,0.8982318527591542,0.36798788678047234,0.5712244574864219,0.5198018106893342,0.6200626305959371,0.03536653983287159,603,161
CAID3 Disorder-NOX,caid3,disorder_nox,OPAL,DED,literal,0.5,mid_20_30,0.970013037809648,0.9083864875349654,1.0,0.36798788678047234,0.6690004622950602,0.6337141845245139,0.6995628761863305,0.0945015885281229,767,161
